,District,PROPERTY Address,PROPERTY Boro-Block-Lot,PROPERTY Building Classification,PROPERTY Condo Section,PROPERTY Full Market Value,PROPERTY Gross Income per SqFt,PROPERTY Gross SqFt,PROPERTY Market Value per SqFt,PROPERTY Neighborhood,PROPERTY Total Units,PROPERTY Year Built,RENTAL 1 Address,RENTAL 1 Boro-Block-Lot,RENTAL 1 Building Classification,RENTAL 1 Full Market Value,RENTAL 1 Gross Income per SqFt,RENTAL 1 Gross SqFt,RENTAL 1 Market Value per SqFt,RENTAL 1 Neighborhood,RENTAL 1 Total Units,RENTAL 1 Year Built,Year
0,Bronx,"717 KELLY STREET
Bronx, New York
(40.81585752488403, -73.90075885984537)",2-02686-7501,R2-WALK-UP,53-R1,583003,11.5,14384,40.5,MORRISANIA/LONGWOOD,13,1909,"391 168 STREET
Bronx, New York
(40.83246316219535, -73.91007687887051)",2-02427-0001,C7-WALK-UP,395000,10.58,11055,35.7,MELROSE/CONCOURSE,16,1923,2008
1,Bronx,"1209 NELSON AVENUE
Bronx, New York
(40.837850419607136, -73.92532146511022)",2-02516-7501,R4-ELEVATOR,73-R1,1609988,16.33,24262,66,HIGHBRIDGE/MORRIS HEIGHTS,28,2005,"845 WALTON AVENUE
Bronx, New York
(40.82629379427517, -73.92468276023064)",2-02474-0051,C1-WALK-UP,1190000,16.47,17750,67,MELROSE/CONCOURSE,20,1910,2008
2,Bronx,"3240 NETHERLAND AVENUE
Bronx, New York
(40.884102974299424, -73.91146048350238)",2-05787-7501,R4-ELEVATOR,30-R1,760999,18.52,10108,75,RIVERDALE,15,1988,"2283 TIEBOUT AVENUE
Bronx, New York
(40.85637849486805, -73.89743231901254)",2-03145-0025,C1-WALK-UP,360000,13.52,9424,38.2,FORDHAM,16,1925,2008
3,Bronx,"2718 SCHURZ AVENUE
Bronx, New York
(40.81359720042147, -73.82172494179507)",2-05604-7501,R4-ELEVATOR,16-R1,4000024,15.5,63416,63,THROGS NECK,52,1984,"1937 WEBSTER AVENUE
Bronx, New York
(40.848882305037634, -73.90040602107877)",2-03142-0200,D1-ELEVATOR,4880000,18.25,94682,52,FORDHAM,99,1972,2008
4,Bronx,"720 217 STREET
Bronx, New York
(40.881931979406566, -73.86293165668216)",2-04664-7501,R2-WALK-UP,75-R1,1310008,16.76,19225,68,WILLIAMSBRIDGE,24,2006,"1145 BOYNTON AVENUE
Bronx, New York
(40.827268105000826, -73.87796148689328)",2-03740-0052,C1-WALK-UP,612000,9.67,18720,32.7,SOUNDVIEW,25,1926,2008
5,Bronx,"950 WESTCHESTER AVENUE
Bronx, New York
(40.82239765593734, -73.8962987006375)",2-02703-7501,R4-ELEVATOR,74-R1,4490000,11.29,112935,39.8,MORRISANIA/LONGWOOD,111,2006,"3463 3 AVENUE
Bronx, New York
(40.82557699997852, -73.91844899972153)",2-02372-0041,D7-ELEVATOR,5240000,10.71,144730,36.2,MORRISANIA/LONGWOOD,119,2005,2008
6,Bronx,"610 WARING AVENUE
Bronx, New York
(40.86137590618242, -73.87030804429679)",2-04340-7501,R4-ELEVATOR,14-R1,2350042,6.58,116200,20.22,BRONXDALE,122,1960,"660 THWAITES PLACE
Bronx, New York
(40.85884589717509, -73.86908775600037)",2-04338-0012,D1-ELEVATOR,2780000,6.58,137350,20.24,BRONXDALE,108,1954,2008
7,Bronx,"3636 FIELDSTON ROAD
Bronx, New York
(40.886850149315386, -73.90650160250377)",2-05771-7501,R9-CONDOPS,41-R1,4340000,9.72,132000,32.9,RIVERDALE,106,1962,"2700 HENRY HUDSON PARKWAY
Bronx, New York
(40.82557699997852, -73.91844899972153)",2-05732-0924,D1-ELEVATOR,3750000,10.18,108955,34.4,RIVERDALE,78,1955,2008
8,Bronx,"24 PENNYFIELD AVENUE
Bronx, New York
(40.80937142610439, -73.80255564460533)",2-05529-7501,R2-WALK-UP,83-R1,641001,13.5,12624,51,THROGS NECK,15,2000,"2040 GLEASON AVENUE
Bronx, New York
(40.8311879381066, -73.85635222470977)",2-03802-0028,C1-WALK-UP,1050000,13.33,20971,50,CASTLE HILL/UNIONPORT,33,1964,2008
9,Bronx,"195 BALCOM AVENUE
Bronx, New York
(40.81406013727949, -73.82164687550397)",2-05606-7502,R2-WALK-UP,56-R1,1319994,17,19080,69,THROGS NECK,20,1997,"3205 OXFORD AVENUE
Bronx, New York
(40.884672613797655, -73.90934989376196)",2-05786-0240,C1-WALK-UP,442000,17.34,6260,71,RIVERDALE,12,1985,2008
10,Bronx,"3800 BLACKSTONE AVENUE
Bronx, New York
(40.889232471884036, -73.9114871784888)",2-05904-7501,R4-ELEVATOR,63-R1,1280002,15.5,20280,63,RIVERDALE,12,2004,"2079 MOHEGAN AVENUE
Bronx, New York
(40.84492729592773, -73.8840056352352)",2-03118-0036,D1-ELEVATOR,1080000,14.19,19265,56,EAST TREMONT,21,1925,2008
11,Bronx,"2521 PALISADE AVENUE
Bronx, New York
(40.880759467454595, -73.92227888543619)",2-05745-7501,R4-ELEVATOR,28-R1,2929999,12.5,62350,47,RIVERDALE,36,1986,"210 181 STREET
Bronx, New York
(40.82557699997852, -73.91844899972153)",2-03156-0141,D7-ELEVATOR,2520000,9.71,78750,32,FORDHAM,78,1955,2008
12,Bronx,"4455 DOUGLAS AVENUE
Bronx, New York
(40.88892144790063, -73.9168761315297)",2-05923-7501,R4-ELEVATOR,6-R1,20799991,17.5,292370,71,RIVERDALE,177,1955,"600 246 STREET
Bronx, New York
(40.89262683915381, -73.90994891428436)",2-05909-0825,D3-ELEVATOR,33300000,18.46,443283,75,RIVERDALE,403,1958,2008
13,Bronx,"3900 GREYSTONE AVENUE
Bronx, New York
(40.88950389842045, -73.9044515066065)",2-05780-7501,R4-ELEVATOR,40-R1,3689993,11,95061,38.8,RIVERDALE,78,1928,"2400 WEBB AVENUE
Bronx, New York
(40.863590585737036, -73.90748669874066)",2-03219-0055,D1-ELEVATOR,3120000,11.22,79000,39.5,KINGSBRIDGE HTS/UNIV HTS,75,1963,2008
14,Bronx,"3625 OXFORD AVENUE
Bronx, New York
(40.887109701747804, -73.90860455351628)",2-05798-7502,R4-ELEVATOR,67-R1,2410001,15,40468,60,RIVERDALE,23,2005,"2475 PALISADE AVENUE
Bronx, New York
(40.88009283995462, -73.92234413928037)",2-05716-0287,D1-ELEVATOR,1920000,15.19,31098,62,RIVERDALE,25,1932,2008
15,Bronx,"190 FORDHAM STREET
Bronx, New York
(40.84770157013164, -73.78435283167151)",2-05643-7501,R2-WALK-UP,60-R1,637998,10.9,16605,38.4,CITY ISLAND,16,1897,"1564 MAYFLOWER AVENUE
Bronx, New York
(40.84251286457159, -73.8346978549363)",2-05388-0009,C1-WALK-UP,305000,9.16,10100,30.2,SCHUYLERVILLE/PELHAM BAY,13,1931,2008
16,Bronx,"1722 PURDY STREET
Bronx, New York
(40.84078593174481, -73.85428773001182)",2-03944-7501,R4-ELEVATOR,2-R2,2759988,8.19,109764,25.1,PARKCHESTER,128,1955,"1500 NOBLE AVENUE
Bronx, New York
(40.83659795948078, -73.87132561263411)",2-03895-0001,D1-ELEVATOR,7380000,8.43,265625,27.8,PARKCHESTER,238,1965,2008
